user_id,organization,organization_type
11010,Clear,U
11011,Froogle,C
11100,Dynamix,G
11101,Clear,U
11111,Clear,U
100000,Froogle,C
1,Dynamix,G
100010,Clear,U
100100,Clear,U
100101,Froogle,C
100110,Dynamix,G
100111,Clear,U
101000,Clear,U
101001,Froogle,C
101010,Dynamix,G
101011,Clear,U
101100,Clear,U
101101,Froogle,C
101110,Dynamix,G
111111,Clear,U
110000,Clear,U
110001,Froogle,C
110001,Dynamix,G
110010,Clear,U
110011,Clear,U
2335544545,Froogle,C
1101011,Dynamix,G
1101100,Clear,U
1101101,Clear,U
1101110,Froogle,C
1101111,Dynamix,G
22,Clear,U
10,Clear,U
11,Froogle,C
100,Dynamix,G
101,Clear,U
110,Clear,U
111,Froogle,C
1120,Dynamix,G
1121,Clear,U
1112,Clear,U
21111,Froogle,C
12222,Dynamix,G
12221,Clear,U
12212,Clear,U
12211,Froogle,C
13122,Dynamix,G
13121,Clear,U
12113,Clear,U
14111,Froogle,C
11555,Dynamix,G
11663,Clear,U
12344554,Clear,U
1.00E+13,Froogle,C
1.00E+12,Dynamix,G
99992012888,Clear,U
999201888,Clear,U
9999918999,Froogle,C
99999179,Dynamix,G
9999169999,Clear,U
9999159999,Clear,U
9999914999,Froogle,C
1.00E+12,Dynamix,G
99991399999,Clear,U
99999912999,Clear,U
99911999,Froogle,C
999910999,Dynamix,G
999919999,Clear,U
99999929999,Clear,U
99999939999,Froogle,C
999949999,Dynamix,G
9999959999,Clear,U
9999969999,Clear,U
999979999,Froogle,C
9999998999,Dynamix,G
9999991,Clear,U
999992,Clear,U
99993,Froogle,C
999994,Dynamix,G
999995,Clear,U
9999997,Clear,U
99998,Froogle,C
9999998,Dynamix,G
9999999,Clear,U
